region,GDP per capita (constant 2015 US$)
Afghanistan,359.7663427
Afghanistan,363.1014815
Afghanistan,354.0339129
Afghanistan,379.9558293
Afghanistan,384.0783052
Afghanistan,429.4125373
Afghanistan,437.4200268
Afghanistan,512.4092792
Afghanistan,569.282712
Afghanistan,551.0009703
Afghanistan,596.4428151
Afghanistan,608.3867146
Afghanistan,602.5169793
Afghanistan,592.4765375
Afghanistan,590.4277388
Afghanistan,588.9304508
Afghanistan,578.985909
Afghanistan,584.3868829
Afghanistan,553.0364789
Afghanistan,426.0300153
Albania,1740.505382
Albania,1804.010307
Albania,1818.367344
Albania,1799.878145
Albania,1740.347226
Albania,1735.289858
Albania,1798.014609
Albania,1748.578262
Albania,1691.530506
Albania,1808.645604
Albania,1606.296047
Albania,1163.491294
Albania,1086.438487
Albania,1197.580594
Albania,1305.000719
Albania,1488.020491
Albania,1633.551572
Albania,1464.297579
Albania,1603.64723
Albania,1821.872654
Albania,1960.881946
Albania,2143.526278
Albania,2247.497491
Albania,2380.643997
Albania,2522.448714
Albania,2675.507936
Albania,2851.367012
Albania,3044.895819
Albania,3298.478044
Albania,3432.169973
Albania,3577.113388
Albania,3678.046738
Albania,3736.339101
Albania,3780.698202
Albania,3855.759734
Albania,3952.802538
Albania,4090.371657
Albania,4249.803734
Albania,4431.539181
Albania,4543.38652
Albania,4410.455165
Albania,4830.596317
Algeria,2106.229265
Algeria,1787.615366
Algeria,1413.823677
Algeria,1868.626753
Algeria,1943.699197
Algeria,2030.636733
Algeria,1897.489679
Algeria,2031.169473
Algeria,2200.325099
Algeria,2332.822464
Algeria,2483.446259
Algeria,2152.971147
Algeria,2680.804109
Algeria,2717.769975
Algeria,2850.684987
Algeria,2885.756982
Algeria,2980.71599
Algeria,3021.42644
Algeria,3206.563371
Algeria,3344.97907
Algeria,3268.444054
Algeria,3260.033106
Algeria,3356.16265
Algeria,3420.746087
Algeria,3492.184312
Algeria,3500.418193
Algeria,3399.285115
Algeria,3274.802964
Algeria,3154.20427
Algeria,3207.456038
Algeria,3153.476864
Algeria,3042.216906
Algeria,3025.84054
Algeria,2896.66936
Algeria,2810.727665
Algeria,2862.108806
Algeria,2927.378397
Algeria,2910.240197
Algeria,3012.806431
Algeria,3066.038705
Algeria,3138.231048
Algeria,3188.207271
Algeria,3321.638849
Algeria,3512.9002
Algeria,3612.754164
Algeria,3774.072491
Algeria,3783.314204
Algeria,3848.779512
Algeria,3874.369338
Algeria,3866.297025
Algeria,3931.721348
Algeria,3969.661577
Algeria,4025.642803
Algeria,4057.766137
Algeria,4129.423902
Algeria,4197.421361
Algeria,4246.243565
Algeria,4218.083701
Algeria,4188.221757
Algeria,4153.004816
Algeria,3873.510015
Algeria,3943.171983
American Samoa,12804.43584
American Samoa,12980.7223
American Samoa,13105.16908
American Samoa,13136.48008
American Samoa,12690.52911
American Samoa,13029.61628
American Samoa,12795.02456
American Samoa,12378.17019
American Samoa,12532.31112
American Samoa,12656.68814
American Samoa,12247.63529
American Samoa,12098.27515
American Samoa,12494.98021
American Samoa,13101.54182
American Samoa,13116.43098
American Samoa,12442.85767
American Samoa,13049.33015
American Samoa,13288.35656
American Samoa,14303.62703
American Samoa,14396.36856
Andorra,43258.72667
Andorra,42165.96567
Andorra,42586.45871
Andorra,42965.76649
Andorra,42570.18233
Andorra,40266.07851
Andorra,39247.76588
Andorra,38203.4909
Andorra,36828.69056
Andorra,35151.90412
Andorra,34446.22432
Andorra,33120.81208
Andorra,32134.02552
Andorra,31219.43154
Andorra,30459.01033
Andorra,30007.92278
Andorra,29763.96915
Andorra,30076.23938
Andorra,30323.1792
Andorra,30565.00336
Andorra,30577.93866
Andorra,30301.50968
Andorra,29595.90473
Andorra,28363.22639
Andorra,28144.26271
Andorra,28051.27871
Andorra,28797.73892
Andorra,31149.23204
Andorra,31895.85421
Andorra,32966.10603
Andorra,33901.04244
Andorra,35722.38713
Andorra,35749.78705
Andorra,37250.14737
Andorra,38696.34105
Andorra,39306.98487
Andorra,40994.28493
Andorra,42724.39766
Andorra,41470.27337
Andorra,40442.62462
Andorra,40937.11162
Andorra,41486.03485
Andorra,39174.74183
Andorra,37597.55613
Andorra,38402.49687
Andorra,38885.37601
Andorra,39886.4818
Andorra,39321.45827
Andorra,39319.93641
Andorra,39413.63447
Andorra,34394.27755
Andorra,36839.87622
Angola,2657.054582
Angola,2451.442455
Angola,2364.944749
Angola,2376.729187
Angola,2430.010202
Angola,2426.037742
Angola,2408.943527
Angola,2422.54248
Angola,2485.891356
Angola,2404.480588
Angola,2245.149862
Angola,2193.230732
Angola,1999.167237
Angola,1472.404189
Angola,1445.155567
Angola,1608.146316
Angola,1766.154054
Angola,1832.482312
Angola,1856.559776
Angola,1836.829653
Angola,1832.514102
Angola,1847.874736
Angola,2031.503726
Angola,2022.035684
Angola,2166.147716
Angola,2404.631169
Angola,2587.725057
Angola,2844.818355
Angola,3048.594002
Angola,2963.315988
Angola,2993.420974
Angola,2983.032611
Angola,3118.343699
Angola,3152.704327
Angola,3185.122401
Angola,3100.830685
Angola,2914.415459
Angola,2808.521753
Angola,2677.177816
Angola,2569.691347
Angola,2347.787032
Angola,2299.640572
Antigua and Barbuda,5400.583259
Antigua and Barbuda,5618.7466
Antigua and Barbuda,6046.409265
Antigua and Barbuda,6511.66278
Antigua and Barbuda,6740.651746
Antigua and Barbuda,6718.985288
Antigua and Barbuda,7060.235271
Antigua and Barbuda,7783.381756
Antigua and Barbuda,8418.771292
Antigua and Barbuda,9435.146894
Antigua and Barbuda,10116.47728
Antigua and Barbuda,10705.59543
Antigua and Barbuda,11329.14814
Antigua and Barbuda,11727.10929
Antigua and Barbuda,11924.73887
Antigua and Barbuda,11871.65842
Antigua and Barbuda,12275.39592
Antigua and Barbuda,12853.28379
Antigua and Barbuda,12054.6163
Antigua and Barbuda,12592.99959
Antigua and Barbuda,13017.21157
Antigua and Barbuda,13378.71536
Antigua and Barbuda,13639.99593
Antigua and Barbuda,14247.97301
Antigua and Barbuda,13392.98172
Antigua and Barbuda,13358.81437
Antigua and Barbuda,14010.84906
Antigua and Barbuda,14656.29262
Antigua and Barbuda,15423.80002
Antigua and Barbuda,17163.39783
Antigua and Barbuda,18505.79067
Antigua and Barbuda,18228.64913
Antigua and Barbuda,15804.44514
Antigua and Barbuda,14367.9515
Antigua and Barbuda,13918.59653
Antigua and Barbuda,14232.96959
Antigua and Barbuda,14015.87931
Antigua and Barbuda,14427.40691
Antigua and Barbuda,14861.88271
Antigua and Barbuda,15570.90406
Antigua and Barbuda,15962.68012
Antigua and Barbuda,16967.08623
Antigua and Barbuda,17697.23115
Antigua and Barbuda,14040.36755
Antigua and Barbuda,14692.41562
Argentina,7410.305029
Argentina,7687.517338
Argentina,7498.840061
Argentina,6986.564802
Argentina,7572.231166
Argentina,8241.529337
Argentina,8059.450431
Argentina,8187.373351
Argentina,8450.037064
Argentina,9126.186479
Argentina,9257.895572
Argentina,9628.037838
Argentina,9630.010366
Argentina,9739.416271
Argentina,10105.04951
Argentina,9935.938635
Argentina,9581.841403
Argentina,10083.81518
Argentina,9476.063436
Argentina,10278.92462
Argentina,10270.95612
Argentina,9585.206772
Argentina,9366.17038
Argentina,9622.347319
Argentina,9624.404556
Argentina,8987.933706
Argentina,9397.883608
Argentina,9507.339813
Argentina,9262.963927
Argentina,8473.026569
Argentina,8144.494294
Argentina,8762.661384
Argentina,9327.859451
Argentina,9957.256522
Argentina,10397.37929
Argentina,9969.331576
Argentina,10388.53871
Argentina,11097.38206
Argentina,11391.94516
Argentina,10880.20621
Argentina,10672.72204
Argentina,10090.65344
Argentina,8895.319642
Argentina,9581.969792
Argentina,10341.64341
Argentina,11141.31067
Argentina,11913.95853
Argentina,12857.09258
Argentina,13246.63489
Argentina,12336.86194
Argentina,13551.33919
Argentina,14200.26989
Argentina,13895.63371
Argentina,14071.50868
Argentina,13567.94842
Argentina,13789.06042
Argentina,13360.21183
Argentina,13595.03736
Argentina,13105.39716
Argentina,12716.2242
Argentina,11341.26837
Argentina,12402.49079
Armenia,1641.983169
Armenia,1425.386762
Armenia,839.5720422
Armenia,791.6470077
Armenia,855.0810535
Armenia,928.0925102
Armenia,989.6423577
Armenia,1031.098274
Armenia,1116.907209
Armenia,1166.187979
Armenia,1249.612148
Armenia,1385.044814
Armenia,1582.057645
Armenia,1815.788251
Armenia,2018.46017
